SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
Amsterdam-Schiphol Municipal AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.3105386, 4.7682744)","Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",125
Fukuoka,Japan,"(36.204824, 138.252924)",Japan,"(33.5903547, 130.4017155)","Fukuoka, Fukuoka Prefecture, Japan",126
"Jersey-States Airport, Channel IslandsJER)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(49.2074637, -2.1952207)","Jersey Airport, St Peter JE1 1BY, Jersey",127
"Powellsville, NC",United States of America,"(37.09024, -95.712891)",United States,"(36.225712, -76.9330114)","Powellsville, NC, USA",128
"Mt Dandenong, VIC",Australia,"(-25.274398, 133.775136)",Australia,"(-37.831111, 145.36)","Mount Dandenong VIC 3767, Australia",129
near Montgomery Municipal Airport,United States of America,"(37.09024, -95.712891)",United States,"(32.304633, -86.39096599999999)","Montgomery Regional Airport, 4445 Selma Hwy, Montgomery, AL 36108, USA",130
"Coruripe, AL",Brazil,"(-14.235004, -51.92528)",Brazil,"(-10.1250022, -36.1761522)","Coruripe - State of Alagoas, Brazil",131
Soest,Germany,"(51.165691, 10.451526)",Germany,"(51.5711476, 8.105754)","Soest, Germany",132
"Grisons, Graubünden",Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.65698709999999, 9.578025700000001)","Grisons, Switzerland",133
"Angle Bay, Milford Haven, Pembrokeshire",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.68330599999999, -5.085708)","Kilnback, Angle Village, Angle, Pembroke SA71 5AN, United Kingdom",134
Melilla,Spain,"(40.46366700000001, -3.74922)",Spain,"(35.2922775, -2.9380973)","Melilla, Nador Province, Spain",135
"Big Prairie, MT",United States of America,"(37.09024, -95.712891)",United States,"(47.7752174, -115.0212548)","Big Prairie, Montana 59873, USA",136
Wangmoon,China,"(35.86166, 104.195397)",China,"(19.8130709, 99.75678959999999)","Bua Sali, Mae Lao District, Chiang Rai 57250, Thailand",137
MornagoVarese),Italy,"(41.87194, 12.56738)",Italy,"(45.7501813, 8.7538274)","21020 Mornago VA, Italy",138
Bucharest-Baneasa AirportBBU),Romania,"(45.943161, 24.96676)",Romania,"(44.502292, 26.101538)","Bucharest Baneasa International Airport (BBU), Șoseaua București-Ploiești 40, București, Romania",139
Guanabara Bay,Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.8115667, -43.1544605)","Guanabara Bay, Brazil",140
Oberkirch,Germany,"(51.165691, 10.451526)",Germany,"(48.5335603, 8.0767816)","Oberkirch, Germany",141
"Mankato, MN",United States of America,"(37.09024, -95.712891)",United States,"(44.1635775, -93.99939959999999)","Mankato, MN, USA",142
Debrecen Airport,Hungary,"(47.162494, 19.503304)",Hungary,"(47.4897469, 21.61219)","Hajduszoboszlo, Debrecen International Airport, Mikepércsi út, 4030 Hungary",143
"E off Manila, Philippines",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(14.5995124, 120.9842195)","Manila, Metro Manila, Philippines",144
near Kisumu,Kenya,"(-0.023559, 37.906193)",Kenya,"(-0.0917016, 34.7679568)","Kisumu, Kenya",145
"Negrileasa, Stulpicani, Suceava",Romania,"(45.943161, 24.96676)",Romania,"(47.4272674, 25.8119624)","Negrileasa 727507, Romania",146
WuhanHankow),China,"(35.86166, 104.195397)",China,"(30.592849, 114.305539)","Wuhan, Hubei, China",147
"Morón, BA",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.6269672, -58.48332749999999)","Morón, Buenos Aires, Argentina",148
 Terranova,Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,"(39.7483594, -75.1122798)","590 Delsea Dr, Sewell, NJ 08080, USA",149
"Billings Municipal Airport, MTBIL)",United States of America,"(37.09024, -95.712891)",United States,"(45.8078759, -108.5417844)","Billings Logan International Airport, 1901 Terminal Cir, Billings, MT 59105, USA",150
"Maxwell Field, Montgomery, AL",United States of America,"(37.09024, -95.712891)",United States,"(32.3774722, -86.32707309999999)","Maxwell Blvd, Montgomery, AL, USA",151
"Cerro de Pasco, Peru",Peru,"(-9.189967, -75.015152)",Peru,"(-10.6776695, -76.26127629999999)","Cerro de Pasco, Peru",152
Mt Mercedario,Chile,"(-35.675147, -71.542969)",Chile,"(-31.9791666, -70.1125)","Mercedario, San Juan Province, Argentina",153
Cleveland Municipal Airport,United States of America,"(37.09024, -95.712891)",United States,"(30.3600647, -95.0079119)","Cleveland Municipal Airport, 17699 FM Rd 787 E, Cleveland, TX 77327, USA",154
"Santos Airport, SPSSZ)",Brazil,"(-14.235004, -51.92528)",Brazil,"(28.547735, 77.252258)","Flat no.218 Second Floor, Hemkunt Chambers, 89, Nehru Place, New Delhi, Delhi 110019, India",155
Domeyko,Chile,"(-35.675147, -71.542969)",Chile,"(-28.955, -70.8939)","Domeyko, Vallenar, III Región, Chile",156
"near Saugus, CA",United States of America,"(37.09024, -95.712891)",United States,"(34.4113854, -118.5400858)","Saugus, Santa Clarita, CA 91350, USA",157
at an unknown location,Chile,"(-35.675147, -71.542969)",Chile,"(-35.675147, -71.542969)",Chile,158
at an unknown location,Chile,"(-35.675147, -71.542969)",Chile,"(-35.675147, -71.542969)",Chile,159
"Maranola, Formia",Italy,"(41.87194, 12.56738)",Italy,"(41.2859182, 13.6291448)","04023 Maranola LT, Italy",160
 Kingston,Jamaica,"(18.109581, -77.297508)",Jamaica,"(41.9270367, -73.9973608)","Kingston, NY 12401, USA",161
off Venezia Lido Airport,Italy,"(41.87194, 12.56738)",Italy,"(45.4305209, 12.3886442)","Aeroporto di Venezia - Lido, Lido Via Morandi, 9, 30126 Lido VE, Italy",162
near Nyíregyháza,Hungary,"(47.162494, 19.503304)",Hungary,"(47.9495324, 21.7244053)","Nyíregyháza, Hungary",163
French Pyrénées,France,"(46.227638, 2.213749)",France,"(42.6681804, 1.0011899)",Pyrenees,164
13 km8.1 mls  ENE Wawona,United States of America,"(37.09024, -95.712891)",United States,"(37.09024, -95.712891)",United States,165
Buhkta Teplits,Russia,"(61.52401, 105.318756)",Russia,"(61.52401, 105.318756)",Russia,166
"Datia, Madhya Pradesh",India,"(20.593684, 78.96288)",India,"(25.6845378, 78.5660852)","Datia, Madhya Pradesh, India",167
near Pontoise,France,"(46.227638, 2.213749)",France,"(49.050966, 2.100645)","Pontoise, France",168
"off Sardinia, Italy",Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,"(40.1208752, 9.012892599999999)","Sardinia, Italy",169
Étang de Berre,France,"(46.227638, 2.213749)",France,"(43.4547792, 5.106131899999999)","Étang de Berre, France",170
Dessau,Germany,"(51.165691, 10.451526)",Germany,"(51.83081660000001, 12.2423302)","Dessau, Dessau-Roßlau, Germany",171
"off San Clemente Island, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.9028812, -118.4980744)","San Clemente Island, California, USA",172
"off San Clemente Island, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.9028812, -118.4980744)","San Clemente Island, California, USA",173
 Pago Pago,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(-14.2756319, -170.7020359)","Pago Pago, Eastern, American Samoa",174
Frankfurt,Germany,"(51.165691, 10.451526)",Germany,"(50.1109221, 8.6821267)","Frankfurt, Germany",175
Frankfurt,Germany,"(51.165691, 10.451526)",Germany,"(50.1109221, 8.6821267)","Frankfurt, Germany",176
Brindisi,Italy,"(41.87194, 12.56738)",Italy,"(40.6327278, 17.9417616)","72100 Brindisi, BR, Italy",177
Roggentin,Germany,"(51.165691, 10.451526)",Germany,"(54.0717066, 12.2040672)","Roggentin, Germany",178
London-Croydon Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3565427, -0.1176014)","Airport House, Purley Way, Croydon CR0 0XZ, UK",179
Pirin Mountains,Bulgaria,"(42.733883, 25.48583)",Bulgaria,"(41.6209029, 23.5503915)","Pirin Mountains, Bulgaria",180
Oostende,Belgium,"(50.503887, 4.469936)",Belgium,"(51.21543, 2.928656)","8400 Ostend, Belgium",181
Tutow,Germany,"(51.165691, 10.451526)",Germany,"(53.9180946, 13.2416215)","Tutow, Germany",182
Palembang-Talang Betoetoe AirportPLM),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-2.8957888, 104.7042993)","Sultan Mahmud Badaruddin II International Airport, Jalan Gubernur Haji Asnawi Mangku Alam, Talang Betutu, Sukarami, Talang Betutu, Sukarami, Kota Palembang, Sumatera Selatan 30961, Indonesia",183
Knight,United States of America,"(37.09024, -95.712891)",United States,"(29.8404718, -95.35345389999999)","Knight, Houston, TX 77093, USA",184
Puerto Cabezas,Nicaragua,"(12.865416, -85.207229)",Nicaragua,"(14.0391161, -83.39496319999999)","Puerto Cabezas, Nicaragua",185
Puerto Cabezas,Nicaragua,"(12.865416, -85.207229)",Nicaragua,"(14.0391161, -83.39496319999999)","Puerto Cabezas, Nicaragua",186
at an unknown location,United States of America,"(37.09024, -95.712891)",United States,"(37.09024, -95.712891)",United States,187
"New York-Floyd Bennett Field, NYNOP)",United States of America,"(37.09024, -95.712891)",United States,"(40.5910174, -73.89060909999999)","1 Floyd Bennett Fld, Brooklyn, NY 11234, USA",188
