Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Korea, Rep.",KOR,49100,53100,59100,69200,143600,120100,120100,141000,163500,170300,188900,207300,229300,207900,204000,226910,228442,238649,240942,232077,221424,223735,243113,250260,256160,280427,282239,285000,360356,368132,392926.006,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kuwait,KWT,14200,14300,14300,15000,15600,10000,7200,14300,16200,17200,17900,19400,17200,18700,17300,17486,16682,18929,17833,19512,19142,20673,17685,17999,18191,41848,31753,28814,27305,28824,30215.5476737354,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,10400,10400,11600,13300,10400,15300,8300,6051,4942,3951,4810,5550,5228,4730,4916,3567,5459,7371,9274,7719,12189,17388,16826.193,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lao PDR,LAO,500,1500,2000,2000,2100,3400,3400,3700,3700,3700,3900,3900,3900,3900,6300,6411,6652,6971,7068,8413,9002,9959,9957,10007,9793,11374,12262,15836.1286311187,16944,12732,9771.81564781345,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Latvia,LVA,..,..,..,..,..,..,..,800,4700,5400,5200,10900,8200,9900,9100,9816,9508,9364,10360,16159,23112,29067,28182,28915,27123,54589,54241,46732,43836,41748,41376,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lebanon,LBN,11100,8200,8500,11300,6800,10300,9300,10000,9400,9900,10900,9700,10300,10100,10100,10435,10317,10808,10819,11807,12013,11274,12172,12306,13532,19882,21306,21880,23568,23580,24351.066,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lesotho,LSO,4700,4800,3900,2200,4600,4600,4600,1900,1100,2400,1800,1400,700,2100,200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Liberia,LBR,2800,2800,2800,2900,2900,2300,2200,2200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Libya,LBY,16600,15400,14400,16400,17000,18200,19000,14400,9100,7100,5800,6100,6000,6000,6100,6194,5884,5884,6414,8042,13335,12657,13477,9930,9812,34878.0771737788,27770.5020633663,16514.4315772057,32064,32736,31312.5096951226,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lithuania,LTU,..,..,..,..,..,..,..,4700,4800,6500,6600,6600,8100,9700,11100,10197,10418,9613,9839,11224,11930,11059,10823,12238,11633,4972.63491038269,7122,11874,9900,12613,12193.968,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Luxembourg,LUX,7900,9200,10300,10400,10600,12300,13200,15200,15300,18900,7300,8200,23200,24600,29900,34007,38239,25102,40831,42447,42304,43777,47209,47639,51932,38716,38937,43021,44059,47215,48569,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11673,14161,15378,14355,21126,23572,25154,25016,19009,14258,13411,14368,15890,17859,20158,21472,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Macedonia, FYR",MKD,..,..,..,..,..,..,..,..,3200,3400,3500,4900,3900,7600,6400,8047,4673,1964,2263,2398,2277,2368,2605,2813,1389,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Madagascar,MDG,16200,15600,15700,16100,15300,17200,14300,15300,16900,16200,17800,17200,16800,18300,18600,20491,20129,9433,17202,18016,17911,14142,37310,11861,9566,11714,12332.7272727273,13267,9451,10385,10521.4238202247,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malawi,MWI,5700,4400,3000,1600,3500,3600,4000,3800,3300,3400,3500,3500,3600,3600,4400,4806,4708,4620,4940,5290,5446,5528,5888,4416,4376,3340.39012345679,3172,3201.16692164608,1644,1644,1687.02,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malaysia,MYS,94700,94100,101400,109400,111900,130500,145800,164800,164500,175000,178200,188300,194100,174000,164800,169263,169840,189382,166716,170054,176152,163665,185052,176549,182002,302185.222466875,336401,343382,430334.457756879,451775.55,475932.767,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Maldives,MDV,800,900,700,700,700,800,800,800,800,2600,4000,4100,3300,6000,4400,5970,3286,3417,3520,4224,4520,5108,5006,5006,4971,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mali,MLI,3100,1700,100,..,..,..,..,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,..,..,..,..,..,..,..,..,4656,5580,2753,360,0,0,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malta,MLT,4000,4500,4700,5300,6000,6600,6800,7500,9500,11300,12800,13600,13400,12700,14100,15394,15056,14594,14390,14356,14768,15359,16895,17334,18362,16828,14891,13845,14257,14022,13639,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Marshall Islands,MHL,..,..,2500,2600,2800,3300,3300,5500,5500,8800,8300,4600,3900,3600,3700,2324,2744,3876,3911,3683,3083,3573,3508,3510,3480,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mauritania,MRT,4100,4400,4100,4200,4200,3600,4300,4200,4400,4400,4600,4800,4900,4900,3600,3761,2230,1510,1612,1686,1720,1725,1833,1159,1114,6373,4235,3077,3984,4044,4277.02293640869,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mauritius,MUS,6400,6500,5800,5900,6400,8400,7700,7700,8000,8200,8900,9400,11000,11000,10700,12162,12269,12720,12969,14791,14743,13692,12090,11742,11144,11750,12353,12258,12079,12131,12646,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mexico,MEX,204600,187100,189000,141400,152200,177300,189300,228400,246600,272100,225100,222700,264100,292100,328300,290412,292208,278456,287017,330441,331225,317856,309633,266244,222356,445796.033023162,386063.994109534,415279.822989187,435792.09,457921.907,487455.181,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Moldova,MDA,..,..,..,..,..,..,..,..,0,0,3400,3800,1600,3300,1100,3682,3866,3862,4333,4657,4392,4248,4654,4933,5047,6571,7147,6560,7500,8400,8743,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Monaco,MCO,9400,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12700,28900,31479,29905,14959,14024,12022,12249,14092,15170,13071,10351,10067,10603,11034.5454545454,10956,10928.727,10728,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mongolia,MNG,..,..,..,..,..,..,9800,17900,10000,10000,10500,10500,4900,4900,2200,6200,5947,6264,7358,6702,5332,6169,6158,5592,4783,6528,7194.25844122874,9611.02826134262,4212,5597,5284.532,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2411,..,4978,4974,5560,..,..,..,..,10064.0086862106,7707,7485,7164,6492,6864,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Morocco,MAR,11600,12200,12600,13600,14100,27100,18600,25800,37400,34500,32700,32000,35100,40100,43900,44542,44262,37160,35937,41526,48651,55239,68847,61298,62037,75306,69940.912476723,61161.3007019091,68700,72216,74493.504,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mozambique,MOZ,2500,2900,3300,4700,4900,5600,5100,4400,3700,3800,3200,3800,4600,5000,5900,6698,7257,7501,7662,8585,9768,10490,10791,10943,11260,13705,12957,13263.2514684884,19596,20520,19647.898,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Myanmar,MMR,22500,22500,22500,22600,13800,13800,13800,13800,13800,13800,14500,14500,14500,14700,11300,10329,9709,20624,20611,24729,26460,28700,29235,29514,28499,20485,32354,37798.8298164773,38028,48192,49505.6,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Namibia,NAM,..,..,..,..,..,..,8100,9400,6300,6300,6800,7200,7400,7500,5500,5161,5131,5080,6034,6137,6455,6513,6942,5450,5439,8836,9400,11711,8568,9197,10606,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1998,342,399,116,96,612,706.86,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nepal,NPL,20300,20300,16600,24000,25800,25800,23000,22300,21800,25900,27200,28400,28400,28600,12000,12130,12306,4324,4912,5846,6255,6920,6918,6952,6804,45990,44126,34745,30612,19560,19394.7,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Netherlands,NLD,98700,102600,118100,121700,122200,115000,130500,173200,189800,176800,203100,206000,185700,188200,224400,229386,222539,250114,248246,254647,241084,250811,259827,262848,291713,268542.005768021,293885.839797724,307221,312910,304795,305540.995,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,New Zealand,NZL,96200,93100,98700,111500,126500,128300,109200,122900,123600,125800,127600,187400,256800,236100,227500,240046,266139,242720,247388,196657,209469,220990,219243,220375,217178,207872,206937,203388,203520,199646,210449.318,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nicaragua,NIC,2300,2000,2000,2000,3600,3900,3900,4200,600,700,800,800,800,800,500,452,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Niger,NER,1100,2300,2200,2300,1100,500,1200,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,..,..,..,..,..,..,..,..,0,0,1416,1044,407,469,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Nigeria,NGA,37500,32600,30100,19700,15900,17400,14900,12500,11900,11200,6600,5600,6400,7500,8400,12761,10667,13154,8987,8254,10227,16045,16936,18005,16851,61789,68014.2763449768,65631.5070737067,59182,57238,52496.78,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Norway,NOR,190500,229900,233300,222600,221400,233500,228000,253700,249800,259200,266500,279500,301500,305100,334500,320753,306511,270045,248403,254045,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Oman,OMN,10500,9600,10200,10800,11400,12300,11400,14400,16200,18800,15700,17900,17500,16300,22200,22322,23213,23168,27751,31871,..,..,..,..,25542,32850,35560,39638,46816,47126,56544,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Pakistan,PAK,48200,52000,53800,60700,62500,66100,65700,69700,70300,69200,69400,70000,73300,68600,74400,63956,52616,41917,44731,50309,48905,51296,51029,52165,50939,64932,72695,72232,61820,57956,65749.572,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Panama,PAN,6900,7000,7000,7200,6900,5400,5500,7500,9500,10700,16400,16600,17800,21700,21200,25225,24867,21883,25702,27434,30392,33003,40645,46292,66236,73316.7503951154,79391,82753,135428,127664,132707.076,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Papua New Guinea,PNG,53900,57300,64700,69500,71400,62400,56700,53200,24700,57800,26800,26800,29300,29600,27100,27512,29826,31147,17704,18712,19606,21935,21700,21751,21450,32741,36364.3197806363,37309.857693979,30012,34068,33260.604,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Paraguay,PRY,6600,7300,7800,6400,6200,6100,7300,7400,13600,6800,900,10200,4200,4400,8000,7556,8173,8497,8557,9104,10059,9807,10351,10522,9758,6459,6873.73284970825,6594,6408,5496,4116,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Peru,PER,28800,32100,35600,33600,26000,22100,21500,21200,25000,30600,37300,35200,43200,44800,37300,29387,44487,37482,36947,46917,60819,56072,61958,67840,65885,84408.1153236815,100131,106167,115817.396352206,117732,125198.943,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Philippines,PHL,57700,62900,67400,71200,74200,70100,63200,65100,60800,61600,64000,64700,65500,61800,40300,44547,60511,57193,56235,56647,58944,61712,65212,72333,87028,205318,225789.683645565,241698.559028508,200532,235500,278834.957,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Poland,POL,28400,30700,30200,28900,31500,28600,19600,22400,27600,30500,32100,35900,38300,38400,43800,52371,71799,69842,73137,77690,78992,83451,89289,90031,83053,82630,82052,81194,83336,77094,71085.47,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Portugal,PRT,31000,31700,34600,39500,40300,45000,47000,59900,63300,65900,71600,80500,94700,97600,117200,112462,96049,112324,117404,127025,148604,119668,138093,159135,123551,111961.407853906,129004,131870,158096,155356,154860.968,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Qatar,QAT,10500,9600,8800,9400,10000,10900,10000,12900,14700,15200,13400,15400,14400,12300,22600,26652,27049,34364,28370,34931,45964,53327,62689,68818,77178,90819,109525,128402,139869,151703,170582,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Romania,ROU,23000,24600,23700,23000,24100,22000,20200,16100,18100,21300,22200,17100,25600,15400,17900,23298,20781,17748,26844,30524,38995,42754,51222,55386,57893,61515,57823,51685,43956,42249.8,45627.724,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Russian Federation,RUS,..,..,..,..,..,..,..,..,815400,683400,586300,464700,395300,280500,321400,314621,329935,345262,350963,398958,390824,421170,467670,522577,475261,523759,596042,636748,678071,747804,767043,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Rwanda,RWA,3500,900,1900,900,700,500,1500,500,500,500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5867,7265,10410,11532,12096,13070.3870310658,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,6500,1200,9900,10700,10877,11802,12317,9010,10691,11439,12752,12658,12699,12492,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sao Tome and Principe,STP,300,300,700,700,700,700,700,700,700,700,700,700,800,800,1100,1135,1135,1128,1170,1267,1310,1337,1426,1142,1143,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Saudi Arabia,SAU,100500,95500,91000,92700,89900,92700,79000,95100,100000,102500,98100,100700,100300,101100,106900,108981,107984,108598,108322,113329,116280,131528,150521,148335,156500,177608,193536,208986,216636,232908,232960.263054187,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Senegal,SEN,6200,3800,3700,3800,3800,3500,4200,4100,4300,4300,4500,4700,4800,3600,2400,2415,2606,6471,2396,6166,6441,0,..,..,0,0,5251,7730,5808,4044,3655.28545345381,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14000,19935,17205,19729,17048,19664,19971,19568,17208,16893,17303,16841,18156,28944,29809.425,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Seychelles,SYC,12500,16200,14800,14700,14900,15800,16300,6000,13600,13400,14000,17200,17900,18900,18500,18966,20249,22449,18647,19281,19581,19526,20727,11896,11238,12989,14202,11262,14592,14556,17124,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sierra Leone,SLE,3100,3100,1900,1500,700,500,..,100,100,200,200,200,0,0,..,202,139,138,138,156,164,171,183,181,186,0,2085,2145,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Singapore,SGP,31100,31600,32900,34900,32000,30500,35000,39100,43100,46100,51600,57200,60700,61700,68400,71042,72431,72444,64117,76253,77119,84747,87564,91387,83772,131721.915559326,144696.875455373,157939.317765257,165239.07,178820.28,176911.819,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Slovak Republic,SVK,..,..,..,..,..,..,..,..,1800,1600,2400,3200,3500,5100,5700,2421,1817,4215,6845,12663,13914,14521,23997,24044,32020,2702,990,1439,1824,721.068,72,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Slovenia,SVN,..,..,..,..,..,..,..,3900,6700,6900,7800,8000,8600,9900,10900,12082,13220,14881,16402,17310,18071,19505,23165,24477,25478,21840,21370,18141,17212,16557,18891.537,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Solomon Islands,SLB,10900,10700,11100,11100,11100,11100,11100,11100,3800,4000,10400,10800,10800,11000,12500,11481,12496,13011,9745,11512,12318,13883,13640,13649,13529,7388,7048.95461126849,6659.69835873915,11352,11532,13107.06,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Somalia,SOM,2400,2700,2800,2500,1600,1600,900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2716.90992767916,2815,2791,3540,3444,0,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,South Africa,ZAF,64200,51000,55800,60800,81200,84000,78600,79900,93700,89300,74300,88400,102200,93200,103800,110392,122561,116985,130938,133222,148146,146648,152550,156567,151292,190441,191506.866330359,197817.300311111,184763,197784,198082.792,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Spain,ESP,181700,180400,183000,207200,225500,244700,262600,289700,282200,282300,313200,332800,370400,387900,414200,485856,517481,493019,518836,549963,586438,602978,657606,616893,547971,546298.853885983,535074,471440.886886395,465558.909,486353.8,538636.118,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sri Lanka,LKA,6700,5800,5800,6100,6900,7900,8200,9100,8900,8900,8900,8800,8800,9300,10100,5206,11386,10480,12603,18699,19712,20979,21020,20512,16632,20921,26052,31373,32636.4,32094,30927,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sudan,SDN,7900,5100,6400,5500,8000,9100,6800,8400,10000,10600,9300,9800,5500,4400,7500,7753,7562,7523,7849,8435,8695,8839,9418,7219,7178,10897,16727.0882365286,13525.4963291617,9432,6852,6020.52591487674,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Suriname,SUR,2800,800,700,2200,2100,2100,2700,3000,3600,3100,2600,3800,6200,6300,6800,2169,1920,1714,4402,4620,4851,4908,5022,4900,4560,1925,1914.76063829787,2417.51329787234,3420,2796,2995,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Swaziland,SWZ,1600,1900,1800,1400,1300,1400,1500,1900,1600,1800,2700,2700,2000,2000,2500,2586,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sweden,SWE,150300,173100,180200,189700,203000,208000,178100,186700,183200,195100,170600,183500,207400,223400,236300,247707,233803,198291,183532,190315,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Switzerland,CHE,115800,122200,122700,132000,145900,152100,150800,157600,168900,174900,191200,218200,220800,250300,276300,289031,284899,242800,189121,144703,134839,125126,139124,158788,168280,224807,244994,257233.254295533,266128,263267,248853.284,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Syrian Arab Republic,SYR,5500,7000,7300,6500,9600,11200,12900,9700,8400,8800,8900,9000,10700,9100,11200,13959,13580,12975,13953,16325,16815,17082,18909,18960,19229,12699,15455.407623056,9670.3235106534,5424,5424,0,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Tajikistan,TJK,..,..,..,..,..,..,..,..,..,3200,3500,2600,2600,2600,3800,3953,4511,5936,7210,8494,6987,2976,7891,8191,9758,5709.66891573827,7320,6529.89687626775,6263,7471,6287.787,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Tanzania,TZA,13800,11200,12300,12100,8000,7500,9400,7500,5700,5400,5600,6100,6000,6100,5000,5973,4360,4401,6082,6441,6062,5068,5457,5460,21088,21825,26332.300586101,28130.4720729721,27625.772,23090.181,24533.49,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Thailand,THA,47400,49600,48300,54600,61800,69500,69800,72700,76200,80700,86500,91700,94900,93500,95400,101591,102414,97750,93576,128178,124347,126845,129703,125907,123541,201306,227322,252368.898405228,298450,324762,381918.185,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Togo,TGO,1400,1100,1000,1100,1100,500,1200,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,..,..,..,..,..,..,..,..,8164,10745,10264,11484,10524,9870.336,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Tonga,TON,1200,4500,5900,4800,4800,4300,4300,4300,4300,4800,4800,5200,3700,3700,3800,3814,4157,4323,4453,5255,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Trinidad and Tobago,TTO,22800,25000,20000,21300,21800,21500,23400,23100,23900,28000,29400,13700,12400,12500,20900,25982,27908,23076,17731,17483,14298,13878,14703,15017,14247,28909,36648.0737879789,36648.0737879789,36564,36216,35126.496,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Tunisia,TUN,13800,11200,13000,12500,13100,12900,12300,12500,13300,14400,14900,13800,17200,19700,20100,19907,19385,18538,18738,20554,21268,21715,21734,24385,24225,31098,32179.9168975069,37233,48804,60419,35539.728,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Turkey,TUR,31600,31700,32900,36800,38300,44200,38600,58600,70500,75100,78500,84900,92800,103900,111400,119945,111342,105996,104377,121815,145952,177088,197132,215275,271835,369174,420222,476115,568212.396628194,628104,706067,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,12500,12500,8700,8700,8800,18500,21858,23963,23963,24460,16316,14094,15602,15590,15665,15337,3221,1617.84131054131,1440.73219373219,12871.0166080453,12150.2396779948,12219.3265426531,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Uganda,UGA,1100,1800,1700,1200,2000,2000,800,500,1500,1500,900,900,900,900,3000,263,266,263,263,302,317,330,353,349,359,6290,4879,5990,8616,6864,2331.624,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ukraine,UKR,..,..,..,..,..,..,..,45400,26400,11400,22600,27700,30600,29800,29500,27973,32864,26859,39778,42374,41911,48562,30029,52509,58756,66038,76652.2681818182,73378.9426182735,58474.09,48416.6,45750.126,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,United Arab Emirates,ARE,10500,12200,12800,15100,16000,18800,19400,26300,30100,34000,34200,38000,39000,41100,44400,48330,50783,54952,71224,87217,..,..,..,..,170588,240855.107016004,269521,311758,327076,352224,397126.112,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,United Kingdom,GBR,471700,498900,522900,573300,639100,670700,615500,654600,659400,684900,724800,772300,788900,801900,840800,876158,925638,924944,891154,970036,1018118,1037032,1044883,1056206,1003893,985109.023067177,1062692,1050702.90909091,1052640,1059254,1100186.413,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,United States,USA,5553900,6106000,6398000,6628500,6522100,6848600,6623900,6578100,6427800,7250000,7682200,8031800,7942900,7824400,8511400,8820878,8535240,8038761,7789108,9566226,9969599,9738983,9815504,9054478,9182363,10095197,10057768,9864360,9745498,9556324,9495129,..
