SubLocation,Country,latlon,place,sub_latlon,sub_place
off Wangerooge [North Sea],Germany,"(51.165691, 10.451526)",Germany,"(53.7891725, 7.9025794)","Wangerooge, Germany"
"Sydney-Mascot Airport, NSWSYD)",Australia,"(-25.274398, 133.775136)",Australia,"(-33.9399228, 151.1752764)","Sydney Airport (SYD), Sydney NSW 2020, Australia"
"Milford Haven in Dale Roads, Pembrokeshire",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(52.35124399999999, -2.2935846)","Pembroke Way, Stourport-on-Severn DY13, UK"
Pembroke Dock RAF Station,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.69392, -4.938079999999999)","Pembroke Dock SA72 6HA, UK"
Pias,Peru,"(-9.189967, -75.015152)",Peru,"(38.0198779, -7.47655)","7830 Pias, Portugal"
near Nanking AirportNKG),China,"(35.86166, 104.195397)",China,"(31.7338222, 118.8719394)","China, Jiangsu, Nanjing, Jiangning, 禄口镇禄口街道 Nanjing Lukou International Airport (NKG)"
"Mirabellou Gulf, Crete",Greece,"(39.074208, 21.824312)",Greece,"(35.1677936, 25.7811869)","Kolpos Mirampelou, Greece"
Chengtu,China,"(35.86166, 104.195397)",China,"(43.0749842, -76.07551819999999)","6430 Kirkville Rd, East Syracuse, NY 13057, USA"
"6,5 km4.1 mls) NE of Milford, PA",United States of America,"(37.09024, -95.712891)",United States,,
London-Croydon Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3565427, -0.1176014)","Airport House, Purley Way, Croydon CR0 0XZ, UK"
Le Grand-Bornand,France,"(46.227638, 2.213749)",France,"(45.942027, 6.426698999999999)","74450 Le Grand-Bornand, France"
near Hannover,Germany,"(51.165691, 10.451526)",Germany,,
near Lauf an der Pegnitz,Germany,"(51.165691, 10.451526)",Germany,"(49.5110483, 11.2780245)","91207 Lauf an der Pegnitz, Germany"
near Tabarz,Germany,"(51.165691, 10.451526)",Germany,"(50.87848109999999, 10.5115698)","Tabarz, Germany"
near San José Pinula,Guatemala,"(15.783471, -90.23075899999999)",Guatemala,"(14.5447785, -90.41016189999999)","San José Pinula, Guatemala"
Delhi,India,"(20.593684, 78.96288)",India,"(28.7040592, 77.10249019999999)","Delhi, India"
off Benghazi,Libya,"(26.3351, 17.228331)",Libya,"(32.1162358, 20.0727897)","Shari' ash Shuhada, Benghazi, Libya"
London-Gatwick AirportLGW),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.1536621, -0.1820629)","Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK"
Frankfurt,Germany,"(51.165691, 10.451526)",Germany,"(50.1109221, 8.6821267)","Frankfurt, Germany"
"Mirabella Bay, Crete",Greece,"(39.074208, 21.824312)",Greece,"(35.1677936, 25.7811869)","Kolpos Mirampelou, Greece"
"Glendale, CA",United States of America,"(37.09024, -95.712891)",United States,"(34.1425078, -118.255075)","Glendale, CA, USA"
near Altenkirchen,Germany,"(51.165691, 10.451526)",Germany,"(50.687222, 7.645556000000001)","57610 Altenkirchen, Germany"
"Hundred, WV",United States of America,"(37.09024, -95.712891)",United States,"(39.6836937, -80.45896859999999)","Hundred, WV 26562, USA"
Copiapó AirportCPO),Chile,"(-35.675147, -71.542969)",Chile,,
Dessau,Germany,"(51.165691, 10.451526)",Germany,"(51.83081660000001, 12.2423302)","Dessau, Dessau-Roßlau, Germany"
"1,6 km1 mls) W of Dunreith, IN",United States of America,"(37.09024, -95.712891)",United States,,
near Madrid,Spain,"(40.46366700000001, -3.74922)",Spain,"(40.4167754, -3.7037902)","Madrid, Spain"
"Terre Haute-Hulman Field, INHUF)",United States of America,"(37.09024, -95.712891)",United States,"(39.4491324, -87.3056672)","Terre Haute Regional Airport, 581 S Airport St, Terre Haute, IN 47803, USA"
"Mount Lihesten, Hyllestad",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(61.1749982, 5.2144952)","Lihesten, Hyllestad, Norway"
"Mount Lihesten, Hyllestad",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(61.1749982, 5.2144952)","Lihesten, Hyllestad, Norway"
at an unknown location,Germany,"(51.165691, 10.451526)",Germany,,
"0,8 km0.5 mls) E of Chicago Municipal Airport, ILMDW)",United States of America,"(37.09024, -95.712891)",United States,,
off Algerian coast,Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,,
near Elburg,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.4492631, 5.834519299999999)","Elburg, Netherlands"
OrvinIlfingen),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,,
Port of Spain,Trinidad and Tobago,"(10.691803, -61.222503)",Trinidad and Tobago,"(10.6549013, -61.50192559999999)","Port of Spain, Trinidad and Tobago"
"near Uniontown, PA",United States of America,"(37.09024, -95.712891)",United States,"(39.900076, -79.71643259999999)","Uniontown, PA 15401, USA"
Nanking AirportNKG),China,"(35.86166, 104.195397)",China,"(31.7338222, 118.8719394)","China, Jiangsu, Nanjing, Jiangning, 禄口镇禄口街道 Nanjing Lukou International Airport (NKG)"
E of Amecameca de Juárez,Mexico,"(23.634501, -102.552784)",Mexico,"(19.1223754, -98.7667481)","Amecameca, State of Mexico, Mexico"
at an unknown location,Austria,"(47.516231, 14.550072)",Austria,,
near Zigong,China,"(35.86166, 104.195397)",China,"(29.33903, 104.778442)","Zigong, Sichuan, China"
NE of Cochabamba,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-17.4139766, -66.1653224)","Cochabamba, Bolivia"
NE of Cochabamba,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-17.4139766, -66.1653224)","Cochabamba, Bolivia"
near Tres Esquinas Air BaseTQS),Colombia,"(4.570868, -74.297333)",Colombia,"(0.7446495000000001, -75.2349639)","Tres Esquinas Airport (TQS), Solano, Caquetá, Colombia"
"Goodwin, AR",United States of America,"(37.09024, -95.712891)",United States,"(34.9381496, -91.0209529)","Goodwin, AR 72340, USA"
Glindow,Germany,"(51.165691, 10.451526)",Germany,"(52.3572443, 12.8894092)","Glindow, 14542 Werder (Havel), Germany"
Glindow,Germany,"(51.165691, 10.451526)",Germany,"(52.3572443, 12.8894092)","Glindow, 14542 Werder (Havel), Germany"
at an unknown location,Italy,"(41.87194, 12.56738)",Italy,,
"ca 1 km N off Rio de Janeiro-Santos Dumont Airport, RJSDU)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Saint-Sauveur, Luxeuil-les-Bains",France,"(46.227638, 2.213749)",France,"(47.8181161, 6.3778248)","Boulevard Richet, 70300 Luxeuil-les-Bains, France"
Tivissa,Spain,"(40.46366700000001, -3.74922)",Spain,"(41.0408609, 0.7330858)","43746 Tivissa, Tarragona, Spain"
Rangoon-Mingaladon Airport,Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(16.8985506, 96.13246819999999)","Yangon International Airport, Yangon Airport Rd, Yangon, Myanmar (Burma)"
Kirby-in-Furness Moor,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(54.3504163, -3.2104921)","Moor House, Seathwaite, Broughton-in-Furness LA20 6EA, UK"
Hythe,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,"(51.071739, 1.081937)","Hythe, UK"
Calcutta,India,"(20.593684, 78.96288)",India,"(22.572646, 88.36389500000001)","Kolkata, West Bengal, India"
Amsterdam-Schiphol Municipal AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.3105386, 4.7682744)","Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands"
Johore Straits,Singapore,"(1.352083, 103.819836)",Singapore,"(1.2718732, 103.5668302)",Johor Strait
Alexandria,Egypt,"(26.820553, 30.802498)",Egypt,"(31.2000924, 29.9187387)","Alexandria, Alexandria Governorate, Egypt"
Chongqing AirportCKG),China,"(35.86166, 104.195397)",China,"(29.7191667, 106.6416667)","Chongqing Jiangbei International Airport (CKG), Yubei Qu, China, 401120"
Fukuoka AirportFUK),Japan,"(36.204824, 138.252924)",Japan,"(33.5903145, 130.4467091)","Fukuoka Airport (FUK), ７７８-１ Shimousui, Hakata Ward, Fukuoka, Fukuoka Prefecture 812-0003, Japan"
HanchungHanzhong) Airfield,China,"(35.86166, 104.195397)",China,,
"San Diego-North Island NAS, CANZY)",United States of America,"(37.09024, -95.712891)",United States,,
nr Argana,Morocco,"(31.791702, -7.092619999999999)",Morocco,,
"Lumbo lagoon, Ilha da Mocambique",Mozambique,"(-18.665695, 35.529562)",Mozambique,,
near Uruyén,Venezuela,"(6.42375, -66.58973)",Venezuela,"(5.681433999999999, -62.42559799999999)","Uruyén, Bolívar, Venezuela"
"near El Carmen, Santander",Colombia,"(4.570868, -74.297333)",Colombia,"(6.698923000000001, -73.51159799999999)","El Carmen de Chucurí, Santander, Colombia"
Tegucigalpa-Toncontin AirportTGU),Honduras,"(15.199999, -86.241905)",Honduras,"(14.060701, -87.2178198)","Toncontín International Airport (TGU), restaurante boca del mar, Tegucigalpa, Honduras"
Fukuoka AirportFUK),Japan,"(36.204824, 138.252924)",Japan,"(33.5903145, 130.4467091)","Fukuoka Airport (FUK), ７７８-１ Shimousui, Hakata Ward, Fukuoka, Fukuoka Prefecture 812-0003, Japan"
"Cabezabellosa, Cáceres",Spain,"(40.46366700000001, -3.74922)",Spain,"(40.1376035, -6.0024285)","10729 Cabezabellosa, Cáceres, Spain"
"Oklahoma City Municipal Air Terminal, OKOKC)",United States of America,"(37.09024, -95.712891)",United States,"(35.393056, -97.600556)","Will Rogers World Airport (OKC), 7100 Terminal Dr, Oklahoma City, OK 73159, USA"
Sint-Stevens-Woluwe,Belgium,"(50.503887, 4.469936)",Belgium,"(50.8691335, 4.4503263)","Sint-Stevens-Woluwe, 1932 Zaventem, Belgium"
Sint-Stevens-Woluwe,Belgium,"(50.503887, 4.469936)",Belgium,"(50.8691335, 4.4503263)","Sint-Stevens-Woluwe, 1932 Zaventem, Belgium"
"Tandjong, Batavia, JavaNetherlands East Indies)",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
near Weining,China,"(35.86166, 104.195397)",China,"(31.2123321, 121.3848074)","Wei Ning Lu, Changning Qu, Shanghai Shi, China"
"Vancouver, BC",Canada,"(56.130366, -106.346771)",Canada,"(49.2827291, -123.1207375)","Vancouver, BC, Canada"
"Termes Ribi, Commune de Roubion",France,"(46.227638, 2.213749)",France,,
San Juan harbor,Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(48.5342662, -123.0171242)","Friday Harbor, WA 98250, USA"
near Köln-Butzweilerhof Airfield,Germany,"(51.165691, 10.451526)",Germany,"(50.9813887, 6.8991614)","Butzweilerstraße 35-39, 50829 Köln, Germany"
"460 km287.5 mls) SE off  Port Washington, Long Island, NY",Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
"near Katherine-Tindal Airport, NTKTR)",Australia,"(-25.274398, 133.775136)",Australia,,
near Sumapaz,Colombia,"(4.570868, -74.297333)",Colombia,"(4.288955, -74.209862)","Natural Sumapaz National Park, PARQUE NACIONAL NATURAL SUMAPAZ, Bogotá, Colombia"
"Rio Bonito, RJ",Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.7186089, -42.6279835)","Rio Bonito, RJ, Brazil"
"Miles City Municipal Airport, MTMLS)",United States of America,"(37.09024, -95.712891)",United States,"(46.4289004, -105.8834368)","Miles City Municipal Airport, Highway 59, Miles City, MT 59301, USA"
near Senlis,France,"(46.227638, 2.213749)",France,"(49.205164, 2.583212)","60300 Senlis, France"
Bangkok,Thailand,"(15.870032, 100.992541)",Thailand,"(13.7563309, 100.5017651)","Bangkok, Thailand"
near Vienna,Austria,"(47.516231, 14.550072)",Austria,"(48.2081743, 16.3738189)","Vienna, Austria"
"1,2 km0.8 mls) off  Point Reyes, CA",United States of America,"(37.09024, -95.712891)",United States,,
Lake Habbaniyah,Iraq,"(33.223191, 43.679291)",Iraq,"(33.2919085, 43.4644802)","Habbaniyah Lake, Iraq"
BathurstBanjul),Gambia,"(13.443182, -15.310139)",The Gambia,"(13.4548761, -16.5790323)","Banjul, The Gambia"
BathurstBanjul),Gambia,"(13.443182, -15.310139)",The Gambia,"(13.4548761, -16.5790323)","Banjul, The Gambia"
"Walton Bay, Somerset",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.4652609, -2.8243767)","Walton Bay, Clevedon BS21, UK"
"near Regina Airport, SKYQR)",Canada,"(56.130366, -106.346771)",Canada,"(50.4333992, -104.655818)","Regina International Airport, 5201 Regina Ave, Regina, SK S4W 1B3, Canada"
off Hawaii,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(19.903797, -155.136609)","Botanical World Adventures Hawaii Zip Line, Segway Off-Road, Botanical Gardens, Maze and Waterfalls, 31-240 Old Mamalahoa Hwy, Hakalau, HI 96710, USA"
Amsterdam-Schiphol Municipal AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.3105386, 4.7682744)","Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands"
Fukuoka,Japan,"(36.204824, 138.252924)",Japan,"(33.5903547, 130.4017155)","Fukuoka, Fukuoka Prefecture, Japan"
"Jersey-States Airport, Channel IslandsJER)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(49.2074637, -2.1952207)","Jersey Airport, St Peter JE1 1BY, Jersey"
"Powellsville, NC",United States of America,"(37.09024, -95.712891)",United States,"(36.225712, -76.9330114)","Powellsville, NC, USA"
"Mt Dandenong, VIC",Australia,"(-25.274398, 133.775136)",Australia,"(-37.831111, 145.36)","Mount Dandenong VIC 3767, Australia"
"near Montgomery Municipal Airport, ALGUN)",United States of America,"(37.09024, -95.712891)",United States,,
"Coruripe, AL",Brazil,"(-14.235004, -51.92528)",Brazil,"(-10.1250022, -36.1761522)","Coruripe - State of Alagoas, Brazil"
Soest,Germany,"(51.165691, 10.451526)",Germany,"(51.5711476, 8.105754)","Soest, Germany"
GrisonsGraubünden),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,,
"Angle Bay, Milford Haven, Pembrokeshire",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.68330599999999, -5.085708)","Kilnback, Angle Village, Angle, Pembroke SA71 5AN, United Kingdom"
Melilla,Spain,"(40.46366700000001, -3.74922)",Spain,"(35.2922775, -2.9380973)","Melilla, Nador Province, Spain"
"Big Prairie, MT",United States of America,"(37.09024, -95.712891)",United States,"(47.7752174, -115.0212548)","Big Prairie, Montana 59873, USA"
Wangmoon,China,"(35.86166, 104.195397)",China,"(19.8130709, 99.75678959999999)","Bua Sali, Mae Lao District, Chiang Rai 57250, Thailand"
MornagoVarese),Italy,"(41.87194, 12.56738)",Italy,"(45.7501813, 8.7538274)","21020 Mornago VA, Italy"
Bucharest-Baneasa AirportBBU),Romania,"(45.943161, 24.96676)",Romania,"(44.502292, 26.101538)","Bucharest Baneasa International Airport (BBU), Șoseaua București-Ploiești 40, București, Romania"
Guanabara Bay,Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.8115667, -43.1544605)","Guanabara Bay, Brazil"
Oberkirch,Germany,"(51.165691, 10.451526)",Germany,"(48.5335603, 8.0767816)","Oberkirch, Germany"
"Mankato, MN",United States of America,"(37.09024, -95.712891)",United States,"(44.1635775, -93.99939959999999)","Mankato, MN, USA"
SW of Debrecen AirportDEB),Hungary,"(47.162494, 19.503304)",Hungary,,
"E off Manila, Philippines",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(14.5995124, 120.9842195)","Manila, Metro Manila, Philippines"
near Kisumu,Kenya,"(-0.023559, 37.906193)",Kenya,"(-0.0917016, 34.7679568)","Kisumu, Kenya"
"Negrileasa, Stulpicani, Suceava",Romania,"(45.943161, 24.96676)",Romania,"(47.4272674, 25.8119624)","Negrileasa 727507, Romania"
WuhanHankow),China,"(35.86166, 104.195397)",China,"(30.592849, 114.305539)","Wuhan, Hubei, China"
"Morón, BA",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.6269672, -58.48332749999999)","Morón, Buenos Aires, Argentina"
"145 km90.6 mls) NE off  Terranova, Sardinia, Italy",Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,,
"Billings Municipal Airport, MTBIL)",United States of America,"(37.09024, -95.712891)",United States,"(45.8078759, -108.5417844)","Billings Logan International Airport, 1901 Terminal Cir, Billings, MT 59105, USA"
"Maxwell Field, Montgomery, AL",United States of America,"(37.09024, -95.712891)",United States,"(32.3774722, -86.32707309999999)","Maxwell Blvd, Montgomery, AL, USA"
Cerro Chilligua,Peru,"(-9.189967, -75.015152)",Peru,,
Mt Mercedario,Chile,"(-35.675147, -71.542969)",Chile,"(-31.9791666, -70.1125)","Mercedario, San Juan Province, Argentina"
"14 km8.8 mls) E of Cleveland Municipal Airport, OHCLE)",United States of America,"(37.09024, -95.712891)",United States,,
"Santos Airport, SPSSZ)",Brazil,"(-14.235004, -51.92528)",Brazil,"(28.547735, 77.252258)","Flat no.218 Second Floor, Hemkunt Chambers, 89, Nehru Place, New Delhi, Delhi 110019, India"
Domeyko,Chile,"(-35.675147, -71.542969)",Chile,"(-28.955, -70.8939)","Domeyko, Vallenar, III Región, Chile"
"near Saugus, CA",United States of America,"(37.09024, -95.712891)",United States,"(34.4113854, -118.5400858)","Saugus, Santa Clarita, CA 91350, USA"
at an unknown location,Chile,"(-35.675147, -71.542969)",Chile,,
at an unknown location,Chile,"(-35.675147, -71.542969)",Chile,,
"Maranola, Formia",Italy,"(41.87194, 12.56738)",Italy,"(41.2859182, 13.6291448)","04023 Maranola LT, Italy"
16 km10 mls) SE off  Kingston,Jamaica,"(18.109581, -77.297508)",Jamaica,,
off Venezia Lido Airport,Italy,"(41.87194, 12.56738)",Italy,"(45.4305209, 12.3886442)","Aeroporto di Venezia - Lido, Lido Via Morandi, 9, 30126 Lido VE, Italy"
near Nyíregyháza,Hungary,"(47.162494, 19.503304)",Hungary,"(47.9495324, 21.7244053)","Nyíregyháza, Hungary"
French Pyrénées,France,"(46.227638, 2.213749)",France,"(42.6681804, 1.0011899)",Pyrenees
"13 km8.1 mls) ENE Wawona, CA",United States of America,"(37.09024, -95.712891)",United States,,
Buhkta Teplits,Russia,"(61.52401, 105.318756)",Russia,,
"Datia, Madhya Pradesh",India,"(20.593684, 78.96288)",India,"(25.6845378, 78.5660852)","Datia, Madhya Pradesh, India"
near Pontoise,France,"(46.227638, 2.213749)",France,"(49.050966, 2.100645)","Pontoise, France"
"off Sardinia, Italy",Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,"(40.1208752, 9.012892599999999)","Sardinia, Italy"
Étang de Berre,France,"(46.227638, 2.213749)",France,"(43.4547792, 5.106131899999999)","Étang de Berre, France"
Dessau,Germany,"(51.165691, 10.451526)",Germany,"(51.83081660000001, 12.2423302)","Dessau, Dessau-Roßlau, Germany"
"off San Clemente Island, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.9028812, -118.4980744)","San Clemente Island, California, USA"
"off San Clemente Island, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.9028812, -118.4980744)","San Clemente Island, California, USA"
"120 km75 mls) S off  Pago Pago, American Samoa",Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,,
Frankfurt,Germany,"(51.165691, 10.451526)",Germany,"(50.1109221, 8.6821267)","Frankfurt, Germany"
Frankfurt,Germany,"(51.165691, 10.451526)",Germany,"(50.1109221, 8.6821267)","Frankfurt, Germany"
Brindisi,Italy,"(41.87194, 12.56738)",Italy,"(40.6327278, 17.9417616)","72100 Brindisi, BR, Italy"
Roggentin,Germany,"(51.165691, 10.451526)",Germany,"(54.0717066, 12.2040672)","Roggentin, Germany"
London-Croydon Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3565427, -0.1176014)","Airport House, Purley Way, Croydon CR0 0XZ, UK"
Pirin Mountains,Bulgaria,"(42.733883, 25.48583)",Bulgaria,"(41.6209029, 23.5503915)","Pirin Mountains, Bulgaria"
Oostende,Belgium,"(50.503887, 4.469936)",Belgium,"(51.21543, 2.928656)","8400 Ostend, Belgium"
Tutow,Germany,"(51.165691, 10.451526)",Germany,"(53.9180946, 13.2416215)","Tutow, Germany"
Palembang-Talang Betoetoe AirportPLM),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-2.8957888, 104.7042993)","Sultan Mahmud Badaruddin II International Airport, Jalan Gubernur Haji Asnawi Mangku Alam, Talang Betutu, Sukarami, Talang Betutu, Sukarami, Kota Palembang, Sumatera Selatan 30961, Indonesia"
"32 km20 mls) S of Knight, WY",United States of America,"(37.09024, -95.712891)",United States,,
40 km25 mls) SW of Puerto Cabezas,Nicaragua,"(12.865416, -85.207229)",Nicaragua,,
40 km25 mls) SW of Puerto Cabezas,Nicaragua,"(12.865416, -85.207229)",Nicaragua,,
at an unknown location,United States of America,"(37.09024, -95.712891)",United States,,
"New York-Floyd Bennett Field, NYNOP)",United States of America,"(37.09024, -95.712891)",United States,"(40.5910174, -73.89060909999999)","1 Floyd Bennett Fld, Brooklyn, NY 11234, USA"
"New York-Floyd Bennett Field, NYNOP)",United States of America,"(37.09024, -95.712891)",United States,"(40.5910174, -73.89060909999999)","1 Floyd Bennett Fld, Brooklyn, NY 11234, USA"
"Fairbanks, AK",United States of America,"(37.09024, -95.712891)",United States,"(64.8377778, -147.7163889)","Fairbanks, AK, USA"
"Fairbanks, AK",United States of America,"(37.09024, -95.712891)",United States,"(64.8377778, -147.7163889)","Fairbanks, AK, USA"
"Daytona Beach Municipal Airport, FLDAB)",United States of America,"(37.09024, -95.712891)",United States,,
"Chilang Point, Bias Bay",China,"(35.86166, 104.195397)",China,,
near Bistrita,Romania,"(45.943161, 24.96676)",Romania,"(47.1392617, 24.4890979)","Bistrița, Romania"
Wadi Halfa AirportWHF),Sudan,"(12.862807, 30.217636)",Sudan,,
Kunming,China,"(35.86166, 104.195397)",China,"(24.880095, 102.832891)","Kunming, Yunnan, China"
24 km15 mls) W off  Cristóbal,Panama,"(8.537981, -80.782127)",Panama,,
Johannesburg-Rand AirportQRA),South Africa,"(-30.559482, 22.937506)",South Africa,"(-26.239343, 28.153792)","Rand Airport, Main Terminal Building, Rand Airport Rd, Airport Park, Germiston, 1419, South Africa"
Johannesburg-Rand AirportQRA),South Africa,"(-30.559482, 22.937506)",South Africa,"(-26.239343, 28.153792)","Rand Airport, Main Terminal Building, Rand Airport Rd, Airport Park, Germiston, 1419, South Africa"
off Ancud,Chile,"(-35.675147, -71.542969)",Chile,,
Karachi,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(24.8614622, 67.0099388)","Karachi, Pakistan"
"Belleville, IL",United States of America,"(37.09024, -95.712891)",United States,"(38.5200504, -89.9839935)","Belleville, IL, USA"
"Clay Springs, AZ",United States of America,"(37.09024, -95.712891)",United States,"(34.3617875, -110.2957743)","Clay Springs, AZ, USA"
Liegnitz,Germany,"(51.165691, 10.451526)",Germany,"(51.2070067, 16.1553231)","Legnica, Poland"
Santander-La Albericia Airport,Spain,"(40.46366700000001, -3.74922)",Spain,"(43.423292, -3.8242487)","Seve Ballesteros-Santander Airport, Carretera del Aeropuerto, s/n, 39600 Maliaño, Cantabria, Spain"
Valencia,Spain,"(40.46366700000001, -3.74922)",Spain,"(28.5229956, -81.4634245)","1800 S Kirkman Rd, Orlando, FL 32811, USA"
"Lake Spenard, AK",United States of America,"(37.09024, -95.712891)",United States,"(61.1782535, -149.9509345)","Lake Spenard, Anchorage, AK, USA"
"near Clifton, PA",United States of America,"(37.09024, -95.712891)",United States,"(39.9292791, -75.2962972)","Clifton Heights, PA 19018, USA"
"near Clifton, PA",United States of America,"(37.09024, -95.712891)",United States,"(39.9292791, -75.2962972)","Clifton Heights, PA 19018, USA"
"1,6 km1 mls) NNE of Ouroux",France,"(46.227638, 2.213749)",France,,
